
Most Successful Tour: (Of 1000 Tours)

Tour #: 810                                 Tour Length: 59
-----------------------------------------------------------
-----------------------------------------------------------
1 	 56 	 53 	 24 	 3 	 26 	 45 	 6 	 
52 	 23 	 2 	 55 	 16 	 5 	 42 	 27 	 
57 	 54 	 15 	 4 	 25 	 44 	 7 	 46 	 
22 	 51 	 58 	 17 	 14 	 41 	 28 	 43 	 
59 	 36 	 13 	 50 	 31 	 8 	 47 	 * 	 
12 	 21 	 32 	 35 	 18 	 49 	 40 	 29 	 
37 	 34 	 11 	 20 	 39 	 30 	 9 	 48 	 
* 	 * 	 38 	 33 	 10 	 19 	 * 	 * 	 

Tour Length:            Number of Tours:
------------            ----------------
------------            ----------------

8                     	1                     	
9                     	2                     	
11                     	4                     	
12                     	6                     	
13                     	1                     	
14                     	2                     	
15                     	10                     	
16                     	9                     	
17                     	3                     	
18                     	12                     	
19                     	14                     	
20                     	15                     	
21                     	10                     	
22                     	11                     	
23                     	25                     	
24                     	13                     	
25                     	17                     	
26                     	26                     	
27                     	15                     	
28                     	22                     	
29                     	18                     	
30                     	25                     	
31                     	32                     	
32                     	45                     	
33                     	22                     	
34                     	38                     	
35                     	34                     	
36                     	33                     	
37                     	34                     	
38                     	56                     	
39                     	41                     	
40                     	40                     	
41                     	30                     	
42                     	43                     	
43                     	44                     	
44                     	27                     	
45                     	29                     	
46                     	48                     	
47                     	29                     	
48                     	26                     	
49                     	19                     	
50                     	22                     	
51                     	13                     	
52                     	9                     	
53                     	9                     	
54                     	4                     	
55                     	8                     	
56                     	2                     	
57                     	1                     	
59                     	1                     	

